compound,driver_number,lap_end,lap_start,meeting_key,session_key,stint_number,tyre_age_at_start
MEDIUM,14,3,1,1140,7763,1,0
MEDIUM,24,3,1,1140,7763,1,10
MEDIUM,4,2,1,1140,7763,1,7
TEST_UNKNOWN,55,6,1,1140,7763,1,11
MEDIUM,22,4,1,1140,7763,1,12
MEDIUM,20,2,1,1140,7763,1,10
MEDIUM,31,5,1,1140,7763,1,5
MEDIUM,4,3,2,1140,7763,2,8
TEST_UNKNOWN,11,4,1,1140,7763,1,0
SOFT,2,3,1,1140,7763,1,15
MEDIUM,14,5,3,1140,7763,2,0
MEDIUM,22,7,4,1140,7763,2,15
MEDIUM,44,7,1,1140,7763,1,6
MEDIUM,4,4,3,1140,7763,3,9
MEDIUM,22,10,7,1140,7763,3,18
MEDIUM,31,8,5,1140,7763,2,9
MEDIUM,20,9,2,1140,7763,2,0
MEDIUM,24,5,3,1140,7763,2,12
SOFT,2,5,3,1140,7763,2,7
MEDIUM,4,6,4,1140,7763,4,0
MEDIUM,44,12,7,1140,7763,2,12
SOFT,2,7,5,1140,7763,3,0
MEDIUM,14,9,5,1140,7763,3,8
MEDIUM,55,9,6,1140,7763,2,10
MEDIUM,55,11,9,1140,7763,3,0
MEDIUM,31,15,8,1140,7763,3,0
TEST_UNKNOWN,11,7,4,1140,7763,2,3
MEDIUM,14,13,9,1140,7763,4,12
MEDIUM,24,12,5,1140,7763,3,9
MEDIUM,20,16,9,1140,7763,3,0
TEST_UNKNOWN,11,10,7,1140,7763,3,6
SOFT,2,9,7,1140,7763,4,17
MEDIUM,4,15,6,1140,7763,5,0
TEST_UNKNOWN,11,17,10,1140,7763,4,9
MEDIUM,55,17,11,1140,7763,4,0
MEDIUM,24,13,12,1140,7763,4,16
MEDIUM,22,11,10,1140,7763,4,0
MEDIUM,22,28,11,1140,7763,5,0
MEDIUM,2,16,9,1140,7763,5,0
MEDIUM,14,20,13,1140,7763,5,0
MEDIUM,44,17,12,1140,7763,3,17
MEDIUM,24,22,13,1140,7763,5,0
MEDIUM,31,18,15,1140,7763,4,0
MEDIUM,2,23,16,1140,7763,6,0
MEDIUM,31,23,18,1140,7763,5,0
MEDIUM,20,24,16,1140,7763,4,0
MEDIUM,55,22,17,1140,7763,5,0
MEDIUM,4,24,15,1140,7763,6,0
MEDIUM,24,23,22,1140,7763,6,0
HARD,22,51,28,1140,7763,6,0
TEST_UNKNOWN,11,18,17,1140,7763,5,16
TEST_UNKNOWN,44,22,17,1140,7763,4,0
TEST_UNKNOWN,24,30,23,1140,7763,7,0
TEST_UNKNOWN,44,27,22,1140,7763,5,5
MEDIUM,2,30,23,1140,7763,7,0
MEDIUM,11,19,18,1140,7763,6,0
MEDIUM,11,34,19,1140,7763,7,1
MEDIUM,31,29,23,1140,7763,6,0
MEDIUM,20,31,24,1140,7763,5,0
MEDIUM,4,31,24,1140,7763,7,0
MEDIUM,55,27,22,1140,7763,6,0
TEST_UNKNOWN,24,31,30,1140,7763,8,0
MEDIUM,14,25,20,1140,7763,6,0
MEDIUM,2,37,30,1140,7763,8,7
MEDIUM,44,30,27,1140,7763,6,0
MEDIUM,22,69,51,1140,7763,7,0
MEDIUM,44,38,30,1140,7763,7,0
MEDIUM,11,35,34,1140,7763,8,0
MEDIUM,14,30,25,1140,7763,7,0
MEDIUM,11,53,35,1140,7763,9,0
TEST_UNKNOWN,2,44,37,1140,7763,9,0
MEDIUM,55,41,27,1140,7763,7,0
MEDIUM,20,41,31,1140,7763,6,7
MEDIUM,4,43,31,1140,7763,8,0
MEDIUM,14,35,30,1140,7763,8,0
TEST_UNKNOWN,2,51,44,1140,7763,10,0
MEDIUM,44,39,38,1140,7763,8,0
MEDIUM,44,42,39,1140,7763,9,1
MEDIUM,44,50,42,1140,7763,10,4
HARD,11,76,53,1140,7763,10,0
MEDIUM,31,34,29,1140,7763,7,0
HARD,20,53,41,1140,7763,7,0
MEDIUM,14,51,35,1140,7763,9,5
MEDIUM,4,53,43,1140,7763,9,9
MEDIUM,2,56,51,1140,7763,11,0
MEDIUM,55,55,41,1140,7763,8,0
TEST_UNKNOWN,31,39,34,1140,7763,8,0
MEDIUM,44,53,50,1140,7763,11,0
MEDIUM,22,72,69,1140,7763,8,0
MEDIUM,2,59,56,1140,7763,12,0
MEDIUM,44,61,53,1140,7763,12,0
MEDIUM,22,77,72,1140,7763,9,3
MEDIUM,4,61,53,1140,7763,10,9
SOFT,2,64,59,1140,7763,13,0
TEST_UNKNOWN,24,34,31,1140,7763,9,8
MEDIUM,14,65,51,1140,7763,10,5
MEDIUM,55,67,55,1140,7763,9,5
HARD,20,65,53,1140,7763,8,0
SOFT,2,67,64,1140,7763,14,0
MEDIUM,22,85,77,1140,7763,10,0
MEDIUM,44,64,61,1140,7763,13,0
HARD,31,47,39,1140,7763,9,0
MEDIUM,24,39,34,1140,7763,10,0
SOFT,2,70,67,1140,7763,15,0
MEDIUM,44,70,64,1140,7763,14,3
MEDIUM,4,63,61,1140,7763,11,7
SOFT,2,72,70,1140,7763,16,5
MEDIUM,24,41,39,1140,7763,11,5
MEDIUM,55,68,67,1140,7763,10,15
HARD,20,67,65,1140,7763,9,0
SOFT,2,75,72,1140,7763,17,0
MEDIUM,4,65,63,1140,7763,12,12
MEDIUM,55,70,68,1140,7763,11,16
